source_file,line,raw_string,resolved_abs_path,classification,notes
.ai/issues/RESOLVED.md,105,archive/ardupilot_logs_20260506/00000110.BIN,/home/ahmed/ardupilot_workspace/archive/ardupilot_logs_20260506/00000110.BIN,EXISTS,
.ai/issues/RESOLVED.md,156,worlds/plane_lidar_runway.sdf,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/worlds/plane_lidar_runway.sdf,MISSING,Renamed to mini_talon_lidar_runway.sdf
.ai/issues/RESOLVED.md,147,worlds/zephyr_lidar_runway.sdf,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/worlds/zephyr_lidar_runway.sdf,MISSING,Correctly noted as deleted
.ai/issues/RESOLVED.md,147,models/zephyr_with_lidar/,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/models/zephyr_with_lidar/,MISSING,Correctly noted as deleted
.ai/features/airspeed/TEST_MATRIX.md,194,evidence/T03_RESULTS_2026-04-01.md,/home/ahmed/ardupilot_workspace/.ai/features/airspeed/evidence/T03_RESULTS_2026-04-01.md,MISSING,File exists at evidence/raw/T03_RESULTS_2026-04-01.md
.ai/features/airspeed/80_OPEN_ISSUES.md,13,src/SIM_ARD_GAW/logs/003_Plane_Airspeed/TEST_RESULT_2026-02-04.md,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/003_Plane_Airspeed/TEST_RESULT_2026-02-04.md,EXISTS,
.ai/external_mods/ardupilot_gazebo/ArduPilotPlugin/airspeed_json.md,236,~/ardupilot_workspace/src/SIM_ARD_GAW/config/plane_base.parm,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/config/plane_base.parm,EXISTS,"Wrong file — should be plane_airspeed.parm for ARSPD_TYPE=100"
.ai/external_mods/ardupilot_gazebo/ArduPilotPlugin/airspeed_json.md,272,src/SIM_ARD_GAW/config/plane_base.parm,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/config/plane_base.parm,EXISTS,"Wrong file attribution for ARSPD_TYPE=100"
.ai/external_mods/ardupilot_gazebo/README.md,69,src/ArduPilotPlugin.hh,/home/ahmed/ardupilot_workspace/src/ardupilot_gazebo/src/ArduPilotPlugin.hh,MISSING,File does not exist (only .cc)
.ai/features/lidar/STATUS.md,50,archive/ardupilot_logs_20260506/00000110.BIN,/home/ahmed/ardupilot_workspace/archive/ardupilot_logs_20260506/00000110.BIN,EXISTS,
.ai/vehicles/fixed_wing/STATUS.md,83,worlds/plane_lidar_runway.sdf,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/worlds/plane_lidar_runway.sdf,MISSING,Renamed to mini_talon_lidar_runway.sdf
.ai/vehicles/fixed_wing/STATUS.md,66,logs/flights/flight_20260121_150436.log,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/flights/flight_20260121_150436.log,MISSING,
.ai/vehicles/fixed_wing/ISSUES.md,63,worlds/plane_lidar_runway.sdf,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/worlds/plane_lidar_runway.sdf,MISSING,Renamed to mini_talon_lidar_runway.sdf
.ai/vehicles/fixed_wing/ISSUES.md,25,archive/ardupilot_logs_20260506/00000110.BIN,/home/ahmed/ardupilot_workspace/archive/ardupilot_logs_20260506/00000110.BIN,EXISTS,
.ai/tests/RESULTS.md,100,src/SIM_ARD_GAW/logs/flights/flight_20260121_150436.log,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/flights/flight_20260121_150436.log,MISSING,
.ai/tests/RESULTS.md,66,archive/ardupilot_logs_20260506/00000110.BIN,/home/ahmed/ardupilot_workspace/archive/ardupilot_logs_20260506/00000110.BIN,EXISTS,
